"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2025","1,048.61","1,030.61","1,049.38","1,023.99","3.31M","2.63%"
"02/27/2025","1,021.71","1,034.00","1,042.53","1,018.83","1.63M","-0.99%"
"02/26/2025","1,031.97","1,050.14","1,058.89","1,030.18","1.56M","-2.24%"
"02/25/2025","1,055.66","1,040.73","1,057.02","1,037.46","2.08M","1.94%"
"02/24/2025","1,035.60","1,028.54","1,038.19","1,025.22","1.76M","0.06%"
"02/21/2025","1,035.03","1,034.60","1,036.21","1,024.68","1.82M","0.02%"
"02/20/2025","1,034.83","1,053.64","1,053.64","1,033.85","2.00M","-2.61%"
"02/19/2025","1,062.54","1,056.06","1,063.18","1,053.00","1.35M","0.62%"
"02/18/2025","1,056.03","1,069.21","1,071.00","1,045.24","2.09M","-1.48%"
"02/14/2025","1,071.85","1,076.48","1,077.49","1,068.01","1.41M","-0.47%"
"02/13/2025","1,076.86","1,067.01","1,078.23","1,064.65","1.62M","1.10%"
"02/12/2025","1,065.12","1,054.15","1,067.00","1,051.00","1.66M","0.64%"
"02/11/2025","1,058.34","1,059.91","1,066.00","1,049.04","1.75M","-0.34%"
"02/10/2025","1,061.92","1,052.00","1,063.00","1,046.00","2.04M","1.73%"
"02/07/2025","1,043.81","1,047.00","1,056.71","1,035.51","1.63M","-0.68%"
"02/06/2025","1,050.99","1,050.00","1,063.00","1,044.20","2.22M","0.78%"
"02/05/2025","1,042.88","1,020.00","1,043.09","1,020.00","2.05M","2.06%"
"02/04/2025","1,021.86","1,005.40","1,024.35","999.65","2.00M","1.59%"
"02/03/2025","1,005.83","972.39","1,009.61","968.94","2.75M","2.65%"
"01/31/2025","979.88","976.24","991.00","975.78","1.88M","0.09%"
"01/30/2025","979.01","970.30","986.75","970.10","1.79M","1.55%"
"01/29/2025","964.02","957.80","968.26","955.00","1.71M","0.56%"
"01/28/2025","958.67","961.83","965.71","954.07","2.17M","-0.68%"
"01/27/2025","965.25","930.00","966.99","927.18","3.04M","2.72%"
"01/24/2025","939.68","942.16","946.04","933.55","1.56M","-0.26%"
"01/23/2025","942.16","941.69","943.39","936.48","1.35M","-0.27%"
"01/22/2025","944.70","951.22","951.94","939.24","2.15M","-0.32%"
"01/21/2025","947.73","945.25","956.55","943.50","2.04M","0.48%"
"01/17/2025","943.19","930.00","943.80","924.57","2.38M","2.55%"
"01/16/2025","919.75","924.73","927.40","917.82","1.35M","-0.41%"
"01/15/2025","923.50","927.26","932.87","918.30","1.84M","0.68%"
"01/14/2025","917.23","924.30","927.76","909.92","1.68M","-0.81%"
"01/13/2025","924.70","934.00","934.99","921.00","1.69M","-1.31%"
"01/10/2025","936.94","933.36","944.28","923.50","2.77M","1.03%"
"01/08/2025","927.37","922.97","930.50","915.41","1.77M","0.65%"
"01/07/2025","921.37","923.84","931.30","916.43","1.89M","-0.15%"
"01/06/2025","922.71","917.98","927.41","913.27","1.97M","0.67%"
"01/03/2025","916.58","914.33","924.21","911.00","1.61M","0.74%"
"01/02/2025","909.81","915.00","925.77","902.00","1.77M","-0.71%"
"12/31/2024","916.27","923.65","924.74","912.54","1.74M","-0.64%"
"12/30/2024","922.21","931.00","934.17","915.50","1.88M","-1.86%"
"12/27/2024","939.70","948.72","950.45","932.00","1.94M","-1.72%"
"12/26/2024","956.14","956.82","959.41","954.00","969.94K","-0.28%"
"12/24/2024","958.82","950.74","959.38","945.45","939.03K","0.94%"
"12/23/2024","949.91","953.88","954.26","937.00","1.86M","-0.44%"
"12/20/2024","954.07","949.39","961.94","943.05","5.37M","-0.08%"
"12/19/2024","954.80","974.51","974.64","953.51","2.61M","-1.03%"
"12/18/2024","964.74","982.00","985.60","964.00","2.73M","-1.77%"
"12/17/2024","982.08","994.00","996.92","980.76","2.05M","-1.09%"
"12/16/2024","992.87","989.04","1,008.25","986.37","2.58M","0.36%"
"12/13/2024","989.35","981.00","1,006.68","965.73","2.95M","0.10%"
"12/12/2024","988.39","1,001.68","1,002.47","987.21","2.34M","-0.63%"
"12/11/2024","994.69","995.00","1,007.80","993.59","1.90M","0.13%"
"12/10/2024","993.40","989.73","994.99","985.88","1.56M","0.56%"
"12/09/2024","987.86","997.01","997.01","980.50","1.86M","-0.48%"
"12/06/2024","992.61","982.26","997.71","982.26","1.74M","1.05%"
"12/05/2024","982.26","986.66","990.13","978.20","2.09M","-0.87%"
"12/04/2024","990.92","982.00","991.15","977.55","1.78M","0.89%"
"12/03/2024","982.15","974.69","983.00","970.76","1.65M","0.73%"
"12/02/2024","975.00","971.36","976.50","964.76","1.96M","0.32%"
"11/29/2024","971.88","968.09","973.27","962.47","1.10M","1.07%"
"11/27/2024","961.55","971.46","972.29","958.59","1.50M","-1.02%"
"11/26/2024","971.50","964.00","974.37","960.89","1.44M","1.10%"
"11/25/2024","960.89","975.00","975.00","949.69","3.24M","-0.32%"
"11/22/2024","964.01","962.74","976.30","958.52","2.08M","0.87%"
"11/21/2024","955.65","935.00","958.49","930.00","2.32M","2.97%"
"11/20/2024","928.08","925.08","928.80","916.50","1.45M","-0.22%"
"11/19/2024","930.15","928.00","934.00","916.36","1.69M","1.16%"
"11/18/2024","919.51","910.64","925.94","907.11","1.80M","1.37%"
"11/15/2024","907.07","917.74","920.55","905.56","2.27M","-1.82%"
"11/14/2024","923.89","927.00","931.15","922.17","1.86M","-1.05%"
"11/13/2024","933.73","930.00","937.59","923.20","1.76M","0.14%"
"11/12/2024","932.38","935.95","939.56","927.00","1.69M","-0.05%"
"11/11/2024","932.88","943.80","951.28","931.43","2.18M","-1.16%"
"11/08/2024","943.80","914.00","962.00","913.75","3.28M","3.27%"
"11/07/2024","913.93","898.62","919.48","894.37","2.15M","1.63%"
"11/06/2024","899.25","898.28","899.90","886.28","2.44M","1.02%"
"11/05/2024","890.17","888.00","895.58","886.80","1.62M","0.46%"
"11/04/2024","886.07","881.34","887.00","876.73","1.58M","1.00%"
"11/01/2024","877.31","874.27","879.41","867.34","1.63M","0.36%"
"10/31/2024","874.18","877.20","877.65","868.65","1.77M","-0.56%"
