"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2025","170.28","168.68","170.61","166.77","48.13M","1.06%"
"02/27/2025","168.50","173.99","174.56","167.94","39.99M","-2.45%"
"02/26/2025","172.73","175.07","176.08","171.58","35.43M","-1.53%"
"02/25/2025","175.42","178.04","178.74","174.69","41.91M","-2.14%"
"02/24/2025","179.25","181.99","183.12","178.88","29.85M","-0.23%"
"02/21/2025","179.66","185.15","185.34","179.08","35.20M","-2.65%"
"02/20/2025","184.56","184.80","185.31","182.72","20.44M","-0.38%"
"02/19/2025","185.27","184.07","185.46","183.59","19.55M","0.82%"
"02/18/2025","183.77","185.60","185.96","181.74","29.92M","-0.79%"
"02/14/2025","185.23","185.05","186.40","184.32","20.45M","-0.49%"
"02/13/2025","186.14","184.32","186.28","183.14","21.40M","1.38%"
"02/12/2025","183.61","183.22","185.11","181.83","22.07M","-0.92%"
"02/11/2025","185.32","185.03","186.94","184.28","21.24M","-0.62%"
"02/10/2025","186.47","187.35","188.20","185.86","23.11M","0.61%"
"02/07/2025","185.34","191.05","191.18","183.24","49.31M","-3.27%"
"02/06/2025","191.60","189.50","192.10","188.72","29.30M","0.14%"
"02/05/2025","191.33","191.07","192.75","188.03","70.46M","-7.29%"
"02/04/2025","206.38","203.39","207.05","202.81","43.86M","2.56%"
"02/03/2025","201.23","200.69","203.75","200.10","27.84M","-1.37%"
"01/31/2025","204.02","202.00","205.48","201.80","32.04M","1.57%"
"01/30/2025","200.87","198.00","201.40","197.67","24.35M","2.79%"
"01/29/2025","195.41","195.55","196.79","193.43","18.22M","0.06%"
"01/28/2025","195.30","192.74","195.48","190.68","24.16M","1.82%"
"01/27/2025","191.81","192.41","196.88","190.73","41.73M","-4.20%"
"01/24/2025","200.21","198.10","200.90","198.00","23.88M","1.13%"
"01/23/2025","197.98","198.14","200.30","195.20","26.95M","-0.20%"
"01/22/2025","198.37","199.06","200.48","197.53","26.20M","0.16%"
"01/21/2025","198.05","199.07","202.29","197.87","29.97M","1.05%"
"01/17/2025","196.00","196.53","197.23","193.75","27.74M","1.60%"
"01/16/2025","192.91","194.14","195.48","192.81","17.82M","-1.35%"
"01/15/2025","195.55","193.09","196.36","191.86","21.78M","3.11%"
"01/14/2025","189.66","191.24","191.98","188.31","17.17M","-0.71%"
"01/13/2025","191.01","190.07","191.18","187.36","21.82M","-0.54%"
"01/10/2025","192.04","194.29","196.52","190.31","26.67M","-0.98%"
"01/08/2025","193.95","192.57","196.29","192.38","24.86M","-0.79%"
"01/07/2025","195.49","197.11","201.00","194.60","26.49M","-0.70%"
"01/06/2025","196.87","193.98","198.22","193.85","29.56M","2.65%"
"01/03/2025","191.79","191.37","193.21","189.98","18.60M","1.25%"
"01/02/2025","189.43","190.65","192.00","187.50","20.37M","0.07%"
"12/31/2024","189.30","191.07","191.96","188.51","17.47M","-1.01%"
"12/30/2024","191.24","189.80","192.55","189.12","14.26M","-0.79%"
"12/27/2024","192.76","194.95","195.32","190.65","18.89M","-1.45%"
"12/26/2024","195.60","195.15","196.75","194.38","12.06M","-0.26%"
"12/24/2024","196.11","194.84","196.11","193.78","10.40M","0.76%"
"12/23/2024","194.63","192.62","195.10","190.15","25.68M","1.68%"
"12/20/2024","191.41","185.78","192.89","185.22","63.46M","1.54%"
"12/19/2024","188.51","191.63","193.03","188.38","32.27M","0.06%"
"12/18/2024","188.40","195.22","197.00","187.74","34.17M","-3.59%"
"12/17/2024","195.42","197.25","201.42","194.98","43.50M","-0.63%"
"12/16/2024","196.66","192.87","199.00","192.62","44.93M","3.60%"
"12/13/2024","189.82","191.01","192.73","189.64","25.14M","-1.11%"
"12/12/2024","191.96","195.00","195.18","191.71","34.82M","-1.76%"
"12/11/2024","195.40","185.31","195.61","184.85","67.89M","5.52%"
"12/10/2024","185.17","182.85","186.36","181.05","54.81M","5.59%"
"12/09/2024","175.37","173.96","176.26","173.65","25.39M","0.38%"
"12/06/2024","174.71","172.03","175.08","171.86","21.46M","1.20%"
"12/05/2024","172.64","175.36","176.06","172.33","21.36M","-0.99%"
"12/04/2024","174.37","171.15","174.91","171.06","31.62M","1.77%"
"12/03/2024","171.34","171.49","172.68","170.85","22.25M","-0.09%"
"12/02/2024","171.49","168.76","172.07","168.57","23.79M","1.50%"
"11/29/2024","168.95","168.50","169.43","167.16","14.26M","-0.17%"
"11/27/2024","169.23","169.00","169.48","168.02","19.27M","0.07%"
"11/26/2024","169.12","167.63","169.82","167.58","20.49M","0.88%"
"11/25/2024","167.65","166.09","168.63","165.61","33.14M","1.75%"
"11/22/2024","164.76","165.85","166.46","163.90","38.60M","-1.71%"
"11/21/2024","167.63","173.90","174.13","163.70","59.73M","-4.74%"
"11/20/2024","175.98","177.34","177.68","173.78","19.00M","-1.20%"
"11/19/2024","178.12","173.72","178.87","173.56","23.43M","1.61%"
"11/18/2024","175.30","173.42","175.44","172.90","20.21M","1.63%"
"11/15/2024","172.49","173.73","174.14","171.22","32.50M","-1.76%"
"11/14/2024","175.58","178.28","178.82","174.32","31.01M","-1.84%"
"11/13/2024","178.88","180.46","180.96","178.54","23.18M","-1.51%"
"11/12/2024","181.62","179.82","182.49","179.39","25.13M","0.70%"
"11/11/2024","180.35","178.58","180.54","178.47","17.45M","1.12%"
"11/08/2024","178.35","180.65","180.90","178.08","22.01M","-1.33%"
"11/07/2024","180.75","177.41","181.08","177.19","25.35M","2.40%"
"11/06/2024","176.51","173.80","176.94","173.50","33.70M","3.99%"
"11/05/2024","169.74","169.43","170.53","168.84","18.24M","0.30%"
"11/04/2024","169.24","169.93","170.73","168.01","21.49M","-1.20%"
"11/01/2024","171.29","170.07","172.32","168.88","31.80M","0.11%"
"10/31/2024","171.11","173.13","176.82","171.00","44.77M","-1.92%"
"10/30/2024","174.46","180.68","182.02","174.06","68.89M","2.82%"
"10/29/2024","169.68","167.73","170.38","167.09","42.17M","1.78%"
"10/28/2024","166.72","168.75","168.75","163.95","32.14M","0.88%"
"10/25/2024","165.27","163.67","165.59","163.42","19.83M","1.57%"
"10/24/2024","162.72","162.83","163.33","161.01","22.41M","-0.04%"
"10/23/2024","162.78","164.76","165.82","161.93","18.28M","-1.43%"
"10/22/2024","165.14","162.98","165.77","162.98","16.57M","0.65%"
"10/21/2024","164.07","162.95","164.50","162.62","20.95M","0.40%"
"10/18/2024","163.42","163.19","164.71","163.08","19.76M","0.30%"
"10/17/2024","162.93","165.73","166.37","162.76","21.45M","-1.35%"
"10/16/2024","165.16","164.53","165.80","163.74","16.41M","-0.18%"
"10/15/2024","165.46","165.79","167.68","164.63","20.25M","0.30%"
"10/14/2024","164.96","163.64","166.23","163.40","19.02M","1.05%"
"10/11/2024","163.24","162.13","163.90","161.24","15.34M","0.72%"
"10/10/2024","162.08","160.87","163.07","160.40","14.14M","0.14%"
"10/09/2024","161.86","163.45","164.84","159.74","31.18M","-1.53%"
"10/08/2024","164.38","163.94","164.73","162.87","23.07M","0.86%"
"10/07/2024","162.98","167.72","168.48","162.75","22.46M","-2.44%"
"10/04/2024","167.06","168.06","168.23","165.48","19.09M","0.72%"
"10/03/2024","165.86","164.41","166.64","163.92","15.07M","0.00%"
"10/02/2024","165.86","166.42","167.52","164.73","17.76M","-0.68%"
"10/01/2024","166.99","167.68","169.16","164.58","28.34M","0.69%"
"09/30/2024","165.85","163.32","166.15","163.26","20.48M","1.16%"
"09/27/2024","163.95","162.81","165.70","162.63","21.10M","0.75%"
"09/26/2024","162.73","163.64","164.08","162.28","20.32M","0.77%"
"09/25/2024","161.49","161.47","162.81","161.30","18.87M","-0.49%"
"09/24/2024","162.29","163.03","163.22","160.69","23.33M","0.27%"
"09/23/2024","161.85","164.35","165.49","161.67","24.15M","-1.06%"
"09/20/2024","163.59","163.50","163.73","162.06","40.90M","0.89%"
"09/19/2024","162.14","163.71","163.79","161.34","26.59M","1.46%"
"09/18/2024","159.81","159.86","160.50","158.60","23.68M","0.31%"
"09/17/2024","159.32","159.02","160.55","158.38","20.72M","0.80%"
"09/16/2024","158.06","157.31","158.25","156.60","18.38M","0.38%"
"09/13/2024","157.46","155.43","158.38","155.21","29.59M","1.79%"
"09/12/2024","154.69","153.80","154.82","152.65","29.70M","2.34%"
"09/11/2024","151.16","149.92","151.50","147.52","29.61M","1.68%"
"09/10/2024","148.66","150.45","151.27","148.34","31.12M","-0.03%"
"09/09/2024","148.71","152.51","153.40","147.21","39.26M","-1.46%"
"09/06/2024","150.92","157.30","157.83","150.55","37.91M","-4.02%"
"09/05/2024","157.24","156.30","159.45","155.98","18.69M","0.50%"
"09/04/2024","156.45","156.65","159.00","155.96","19.35M","-0.58%"
"09/03/2024","157.36","161.72","161.85","156.48","38.95M","-3.68%"
"08/30/2024","163.38","162.62","163.66","161.69","22.12M","0.99%"
"08/29/2024","161.78","164.31","165.97","160.25","19.70M","-0.66%"
"08/28/2024","162.85","165.04","165.60","161.53","16.41M","-1.11%"
"08/27/2024","164.68","165.84","166.44","164.46","11.82M","-0.89%"
"08/26/2024","166.16","166.38","167.55","164.46","14.19M","0.33%"
"08/23/2024","165.62","164.72","166.18","163.83","13.96M","1.11%"
"08/22/2024","163.80","167.26","167.59","163.31","22.49M","-1.24%"
"08/21/2024","165.85","165.15","166.85","164.67","22.90M","-0.80%"
"08/20/2024","167.18","166.90","168.64","166.82","18.34M","0.31%"
"08/19/2024","166.67","165.28","166.69","164.26","22.42M","2.28%"
"08/16/2024","162.96","161.47","165.06","161.13","24.21M","1.03%"
"08/15/2024","161.30","160.50","161.63","159.61","31.52M","0.58%"
"08/14/2024","160.37","162.40","163.22","157.71","40.59M","-2.31%"
"08/13/2024","164.16","163.41","164.73","162.97","18.55M","1.15%"
"08/12/2024","162.29","164.35","164.90","161.84","15.90M","-0.84%"
"08/09/2024","163.67","160.01","163.79","159.06","28.60M","1.01%"
"08/08/2024","162.03","160.51","163.69","160.21","25.58M","1.94%"
"08/07/2024","158.94","161.25","162.98","158.47","25.14M","0.41%"
"08/06/2024","158.29","159.33","160.57","156.41","49.00M","-0.60%"
"08/05/2024","159.25","155.50","164.43","154.93","53.63M","-4.45%"
"08/02/2024","166.66","166.44","168.51","164.67","29.13M","-2.40%"
"08/01/2024","170.76","170.25","174.05","168.88","24.53M","-0.45%"
"07/31/2024","171.54","173.24","174.24","170.01","25.73M","0.73%"
"07/30/2024","170.29","170.24","171.23","168.44","18.96M","0.45%"
"07/29/2024","169.53","168.83","170.43","167.99","20.29M","1.51%"
"07/26/2024","167.00","167.15","168.09","164.06","41.34M","-0.17%"
"07/25/2024","167.28","172.52","173.42","167.19","44.85M","-3.10%"
"07/24/2024","172.63","173.60","176.19","171.82","49.59M","-5.04%"
"07/23/2024","181.79","182.05","183.61","181.54","36.35M","0.07%"
"07/22/2024","181.67","180.59","182.70","180.23","24.10M","2.26%"
"07/19/2024","177.66","178.88","180.29","177.13","18.88M","-0.02%"
"07/18/2024","177.69","181.93","182.50","176.47","25.32M","-1.84%"
"07/17/2024","181.02","182.96","183.55","179.90","20.73M","-1.58%"
"07/16/2024","183.92","187.36","188.68","183.37","18.29M","-1.40%"
"07/15/2024","186.53","184.92","188.24","184.92","16.47M","0.79%"
"07/12/2024","185.07","185.08","187.11","184.49","22.90M","-0.27%"
"07/11/2024","185.57","189.85","190.86","185.08","25.63M","-2.93%"
"07/10/2024","191.18","189.15","191.75","189.03","15.95M","1.16%"
"07/09/2024","188.98","190.31","191.36","188.72","15.14M","-0.03%"
"07/08/2024","189.03","189.90","190.17","187.78","21.04M","-0.82%"
"07/05/2024","190.60","185.85","190.86","185.80","20.97M","2.57%"
"07/03/2024","185.82","184.85","186.09","184.00","10.24M","0.31%"
"07/02/2024","185.24","182.05","185.57","181.56","17.37M","1.23%"
"07/01/2024","182.99","183.03","183.88","181.30","16.01M","0.46%"
"06/28/2024","182.15","184.32","185.13","181.96","29.16M","-1.76%"
"06/27/2024","185.41","184.18","186.05","184.02","18.85M","0.83%"
"06/26/2024","183.88","182.63","184.51","182.48","19.84M","-0.08%"
"06/25/2024","184.03","179.62","184.29","179.42","23.24M","2.68%"
"06/24/2024","179.22","180.16","180.89","178.67","18.30M","-0.23%"
"06/21/2024","179.63","177.00","180.85","176.61","58.58M","1.89%"
"06/20/2024","176.30","175.37","177.29","174.99","20.16M","0.69%"
"06/18/2024","175.09","177.14","177.38","174.10","21.87M","-1.21%"
"06/17/2024","177.24","175.46","178.36","174.81","19.62M","0.25%"
"06/14/2024","176.79","174.22","177.06","174.15","18.06M","0.93%"
"06/13/2024","175.16","176.11","176.74","174.88","20.91M","-1.48%"
"06/12/2024","177.79","178.25","180.41","176.11","27.86M","0.66%"
"06/11/2024","176.62","176.22","176.84","173.77","21.54M","0.92%"
"06/10/2024","175.01","174.97","177.06","172.76","23.78M","0.32%"
"06/07/2024","174.46","177.05","177.87","174.30","19.66M","-1.28%"
"06/06/2024","176.73","175.90","177.15","175.75","23.25M","0.75%"
"06/05/2024","175.41","175.20","176.65","173.93","22.07M","0.93%"
"06/04/2024","173.79","173.28","173.85","171.89","26.88M","0.36%"
"06/03/2024","173.17","172.54","174.52","171.16","27.46M","0.39%"
"05/31/2024","172.50","171.86","173.06","169.44","37.64M","0.23%"
"05/30/2024","172.11","175.20","175.22","171.79","22.96M","-2.15%"
"05/29/2024","175.90","175.43","176.84","174.72","23.39M","-0.28%"
"05/28/2024","176.40","174.45","177.27","174.37","20.57M","0.81%"
"05/24/2024","174.99","174.98","175.77","173.65","16.58M","0.83%"
"05/23/2024","173.55","177.07","178.25","172.95","21.02M","-1.60%"
"05/22/2024","176.38","176.64","177.15","175.21","17.88M","-0.83%"
"05/21/2024","177.85","176.90","178.15","175.81","16.99M","0.53%"
"05/20/2024","176.92","176.19","178.77","176.08","22.55M","0.49%"
"05/17/2024","176.06","174.18","176.26","173.69","24.48M","1.08%"
"05/16/2024","174.18","173.29","175.12","172.69","27.87M","0.97%"
"05/15/2024","172.51","170.63","172.65","170.51","26.95M","1.27%"
"05/14/2024","170.34","169.77","171.25","168.80","25.13M","0.71%"
"05/13/2024","169.14","164.26","169.28","164.00","31.33M","0.29%"
"05/10/2024","168.65","168.02","169.85","166.19","29.80M","-0.77%"
"05/09/2024","169.96","169.39","170.69","168.18","15.35M","0.34%"
"05/08/2024","169.38","169.00","170.15","168.74","19.57M","-1.09%"
"05/07/2024","171.25","168.50","171.76","168.39","28.04M","1.87%"
"05/06/2024","168.10","167.46","168.14","166.03","21.87M","0.51%"
"05/03/2024","167.24","167.56","167.96","163.05","34.66M","0.37%"
"05/02/2024","166.62","164.79","166.73","163.89","24.29M","1.68%"
"05/01/2024","163.86","164.30","167.12","163.09","33.49M","0.66%"
"04/30/2024","162.78","165.61","168.10","162.60","33.56M","-2.03%"
"04/29/2024","166.15","169.06","169.55","165.21","45.61M","-3.37%"
"04/26/2024","171.95","174.37","174.71","169.65","64.67M","10.22%"
"04/25/2024","156.00","151.33","156.49","150.87","57.11M","-1.97%"
"04/24/2024","159.13","157.49","159.57","157.16","22.78M","0.55%"
"04/23/2024","158.26","156.96","158.97","156.28","21.15M","1.27%"
"04/22/2024","156.28","154.31","157.64","154.06","26.45M","1.42%"
"04/19/2024","154.09","156.20","156.36","152.30","32.62M","-1.23%"
"04/18/2024","156.01","155.34","156.94","154.62","19.88M","0.35%"
"04/17/2024","155.47","155.62","157.08","154.58","21.76M","0.69%"
"04/16/2024","154.40","154.19","155.65","153.43","20.78M","-0.30%"
"04/15/2024","154.86","158.86","159.24","154.59","27.14M","-1.82%"
"04/12/2024","157.73","157.96","160.22","157.14","25.35M","-1.05%"
"04/11/2024","159.41","156.91","159.68","156.46","27.17M","2.09%"
"04/10/2024","156.14","156.21","156.61","154.68","22.84M","-0.29%"
"04/09/2024","156.60","156.09","158.56","155.19","31.11M","1.13%"
"04/08/2024","154.85","152.78","155.27","152.61","20.70M","1.54%"
"04/05/2024","152.50","150.03","153.42","149.60","23.46M","1.31%"
"04/04/2024","150.53","153.50","154.77","150.45","34.72M","-2.83%"
"04/03/2024","154.92","153.60","155.08","152.73","24.70M","0.23%"
"04/02/2024","154.56","153.50","154.70","152.15","24.59M","-0.60%"
"04/01/2024","155.49","150.69","155.74","150.61","31.73M","3.02%"
"03/28/2024","150.93","150.85","151.43","150.17","24.49M","0.04%"
"03/27/2024","150.87","151.18","151.63","148.90","22.88M","0.13%"
"03/26/2024","150.67","150.22","152.26","149.98","22.15M","0.40%"
"03/25/2024","150.07","149.94","150.38","147.82","19.23M","-0.46%"
"03/22/2024","150.77","149.12","151.58","148.98","29.21M","2.15%"
"03/21/2024","147.60","149.47","150.37","146.90","24.76M","-0.77%"
"03/20/2024","148.74","148.00","148.86","146.74","21.31M","1.16%"
"03/19/2024","147.03","148.16","148.79","146.08","24.07M","-0.44%"
"03/18/2024","147.68","148.61","152.15","147.17","69.27M","4.60%"
"03/15/2024","141.18","142.50","143.18","140.03","49.48M","-1.34%"
"03/14/2024","143.10","141.19","143.59","140.46","42.75M","2.37%"
"03/13/2024","139.79","139.00","141.09","138.99","23.35M","0.93%"
"03/12/2024","138.50","137.03","139.38","137.03","27.56M","0.60%"
"03/11/2024","137.67","136.13","139.10","136.13","32.44M","1.67%"
"03/08/2024","135.41","134.21","138.09","134.00","39.37M","0.77%"
"03/07/2024","134.38","132.79","134.94","131.61","37.74M","2.27%"
"03/06/2024","131.40","133.12","133.58","130.85","35.32M","-0.96%"
"03/05/2024","132.67","131.88","133.24","130.66","40.19M","-0.51%"
"03/04/2024","133.35","135.66","135.66","131.91","56.00M","-2.76%"
"03/01/2024","137.14","138.43","138.87","136.92","31.15M","-0.95%"
"02/29/2024","138.46","137.28","138.86","136.40","42.13M","1.53%"
"02/28/2024","136.38","137.90","138.01","135.41","37.33M","-1.80%"
"02/27/2024","138.88","138.02","139.25","137.09","33.10M","0.95%"
"02/26/2024","137.57","142.14","142.44","137.39","53.64M","-4.44%"
"02/23/2024","143.96","143.67","144.68","143.43","19.49M","-0.09%"
"02/22/2024","144.09","144.93","145.00","142.80","27.19M","1.08%"
"02/21/2024","142.55","141.45","142.69","140.68","23.32M","1.01%"
"02/20/2024","141.12","139.65","142.08","139.49","24.94M","0.43%"
"02/16/2024","140.52","142.99","143.19","140.14","31.47M","-1.58%"
"02/15/2024","142.77","143.14","143.52","140.46","37.59M","-2.17%"
"02/14/2024","145.94","146.08","146.52","144.09","22.70M","0.55%"
"02/13/2024","145.14","144.92","146.67","143.69","27.84M","-1.62%"
"02/12/2024","147.53","148.42","149.34","147.37","21.56M","-0.99%"
"02/09/2024","149.00","146.68","149.44","146.18","26.83M","2.12%"
"02/08/2024","145.91","145.83","146.33","145.10","22.56M","0.25%"
"02/07/2024","145.54","144.76","145.62","143.93","25.21M","1.00%"
"02/06/2024","144.10","144.65","145.36","143.19","29.13M","0.29%"
"02/05/2024","143.68","142.82","145.47","142.78","38.51M","0.91%"
"02/02/2024","142.38","139.26","142.62","136.50","62.50M","0.86%"
"02/01/2024","141.16","142.12","143.06","140.79","40.47M","0.76%"
"01/31/2024","140.10","143.62","144.00","139.87","71.91M","-7.50%"
"01/30/2024","151.46","152.80","153.62","151.18","36.33M","-1.34%"
"01/29/2024","153.51","152.06","153.78","151.43","27.78M","0.87%"
"01/26/2024","152.18","151.10","152.54","151.01","26.12M","0.21%"
"01/25/2024","151.87","150.07","153.05","149.54","29.15M","2.13%"
"01/24/2024","148.70","148.54","149.85","148.10","25.23M","1.13%"
"01/23/2024","147.04","145.89","147.18","145.50","21.64M","0.72%"
"01/22/2024","145.99","147.10","148.39","145.84","32.20M","-0.27%"
"01/19/2024","146.38","144.74","146.45","144.38","34.27M","2.02%"
"01/18/2024","143.48","142.05","144.21","141.99","25.75M","1.42%"
"01/17/2024","141.47","141.35","141.84","138.90","20.97M","-0.72%"
"01/16/2024","142.49","142.00","144.35","141.45","22.67M","-0.11%"
"01/12/2024","142.65","142.67","143.20","141.82","18.79M","0.40%"
"01/11/2024","142.08","143.49","145.22","140.63","24.01M","-0.14%"
"01/10/2024","142.28","141.00","143.00","140.91","21.32M","0.94%"
"01/09/2024","140.95","138.50","141.49","138.15","24.76M","1.52%"
"01/08/2024","138.84","136.29","139.01","136.26","21.40M","2.29%"
"01/05/2024","135.73","136.74","137.16","135.15","22.51M","-0.48%"
"01/04/2024","136.39","138.42","139.16","136.35","27.14M","-1.82%"
"01/03/2024","138.92","137.25","139.63","137.08","24.21M","0.54%"
"01/02/2024","138.17","138.55","139.45","136.48","23.71M","-1.09%"
"12/29/2023","139.69","139.63","140.36","138.78","18.73M","-0.39%"
"12/28/2023","140.23","140.78","141.14","139.75","16.05M","-0.10%"
