"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2025","980.56","969.56","982.27","958.17","4.72M","1.82%"
"02/27/2025","963.07","995.00","1,000.73","961.83","3.77M","-2.73%"
"02/26/2025","990.06","977.60","1,000.89","976.90","3.40M","1.31%"
"02/25/2025","977.24","989.40","994.40","955.00","4.74M","-1.14%"
"02/24/2025","988.47","1,008.00","1,015.17","984.48","4.43M","-1.46%"
"02/21/2025","1,003.15","1,029.42","1,032.38","999.39","3.74M","-2.09%"
"02/20/2025","1,024.54","1,042.00","1,045.00","1,015.59","3.11M","-1.80%"
"02/19/2025","1,043.33","1,035.18","1,045.00","1,024.51","2.60M","0.72%"
"02/18/2025","1,035.85","1,060.00","1,062.00","1,023.75","4.23M","-2.15%"
"02/14/2025","1,058.60","1,044.95","1,064.50","1,041.69","3.15M","1.43%"
"02/13/2025","1,043.69","1,026.63","1,045.99","1,025.10","3.48M","1.59%"
"02/12/2025","1,027.31","1,005.49","1,027.74","998.35","3.39M","1.91%"
"02/11/2025","1,008.08","1,020.79","1,022.69","1,002.95","3.33M","-1.90%"
"02/10/2025","1,027.60","1,023.05","1,032.85","1,015.88","3.30M","1.35%"
"02/07/2025","1,013.93","1,017.00","1,027.76","1,005.67","3.21M","-0.17%"
"02/06/2025","1,015.68","1,007.87","1,016.35","1,002.61","3.13M","0.45%"
"02/05/2025","1,011.11","987.73","1,011.83","986.68","4.00M","1.63%"
"02/04/2025","994.87","980.47","1,008.00","978.51","6.00M","1.63%"
"02/03/2025","978.94","973.00","987.69","964.38","3.72M","0.22%"
"01/31/2025","976.76","974.00","990.29","974.00","3.62M","0.36%"
"01/30/2025","973.24","986.75","994.59","970.01","3.87M","-0.50%"
"01/29/2025","978.15","980.00","987.64","968.23","2.93M","0.65%"
"01/28/2025","971.83","966.71","977.93","957.30","3.43M","-0.01%"
"01/27/2025","971.89","971.10","982.27","960.26","4.63M","-0.58%"
"01/24/2025","977.59","984.41","986.28","967.68","4.55M","-0.74%"
"01/23/2025","984.86","957.81","985.00","953.90","7.75M","3.24%"
"01/22/2025","953.99","998.03","999.00","950.76","14.27M","9.69%"
"01/21/2025","869.68","863.53","916.40","854.74","9.85M","1.35%"
"01/17/2025","858.10","859.79","865.00","852.13","3.62M","1.87%"
"01/16/2025","842.37","860.96","868.98","842.02","4.03M","-0.69%"
"01/15/2025","848.26","836.44","850.84","830.41","3.18M","2.40%"
"01/14/2025","828.40","843.20","844.89","823.52","3.04M","-1.41%"
"01/13/2025","840.29","831.53","847.07","829.14","3.02M","0.31%"
"01/10/2025","837.69","866.40","866.41","834.40","4.80M","-4.26%"
"01/08/2025","875.00","880.00","886.22","873.00","2.35M","-0.48%"
"01/07/2025","879.19","879.38","888.00","869.11","2.65M","-0.29%"
"01/06/2025","881.79","888.76","892.83","871.69","3.46M","0.08%"
"01/03/2025","881.05","893.13","898.83","879.89","2.97M","-0.64%"
"01/02/2025","886.73","895.50","898.58","877.00","2.32M","-0.51%"
"12/31/2024","891.32","901.80","902.68","889.47","1.88M","-1.01%"
"12/30/2024","900.43","894.51","908.23","889.71","2.20M","-0.78%"
"12/27/2024","907.55","916.01","918.13","894.50","3.23M","-1.80%"
"12/26/2024","924.14","928.40","930.49","915.30","2.34M","-0.86%"
"12/24/2024","932.12","915.00","935.85","911.70","2.32M","2.27%"
"12/23/2024","911.45","913.42","915.00","899.10","2.34M","0.26%"
"12/20/2024","909.05","893.21","919.92","890.49","4.53M","0.78%"
"12/19/2024","902.04","908.18","912.62","899.00","2.82M","1.40%"
"12/18/2024","889.55","919.13","922.44","886.56","2.94M","-3.22%"
"12/17/2024","919.13","921.54","928.45","916.42","2.46M","-0.21%"
"12/16/2024","921.08","923.94","928.94","919.50","2.67M","0.24%"
"12/13/2024","918.87","916.81","925.55","909.61","2.49M","-0.72%"
"12/12/2024","925.55","933.35","934.09","922.60","2.49M","-1.18%"
"12/11/2024","936.56","924.71","941.75","923.08","3.50M","2.54%"
"12/10/2024","913.35","913.76","922.88","909.58","2.39M","-0.04%"
"12/09/2024","913.69","928.00","930.30","902.59","3.35M","-2.25%"
